Nr.,Name,Nametech,Area,Area misc.,Importance,Parent,Decade,Year,Country?
,Afrobeat,afrobeat,african,jazz,4,Highlife,1960s,late 1960s,"Nigeria, Ghana"
,Afrobeats,afrobeats,african,pop,5,Hiplife,2000s,late 2000s,"Nigeria, Ghana"
,Afropop,afropop,african,pop,4,Highlife,1960s,1960s,Africa / worldwide
,Afroswing,afroswing,african,hiphop,3,Afrobeats,2010s,mid-2010s,UK
,Amapiano,amapiano,african,house,4,Deep House,2010s,mid-2010s,South Africa
,Apala,apala,african,folk,4,(none),1930s,1930s,Nigeria
,Azonto,azonto,african,hiphop,3,Hiplife,2010s,early 2010s,Ghana
,Bongo Flava,bongoflava,african,hiphop,5,Hiphop,1990s,early 1990s,Tanzania
,Bubu (sierra leone),bubusierraleone,african,folk,2,(none),ancient,precolonial traditional origins,Sierra Leone
,Chimurenga,chimurenga,african,rock,5,Shona Music,1970s,early 1970s,Zimbabwe
,Congolese Rumba,congoleserumba,african,latin,5,Son Cubano,1940s,late 1940s,"DR Congo, Republic of the Congo"
,Coupé-Décalé,coupedecale,african,edm,4,Zouglou,2000s,early 2000s,"Ivory Coast, France"
,Fuji,fuji,african,folk,4,Wéré Music,1960s,late 1960s,Nigeria
,Genge,genge,african,hiphop,4,Hiphop,1990s,late 1990s,Kenya
,Gengetone,gengetone,african,hiphop,4,Genge,2010s,late 2010s,Kenya
,Gnawa,gnawa,african,folk,5,(none),1600s,16th–17th centuries,Morocco
,Gqom,gqom,african,house,3,Kwaito,2010s,early 2010s,South Africa
,Highlife,highlife,african,folk,4,(none),1920s,early 1920s,Ghana
,Hiplife,hiplife,african,hiphop,4,Highlife,1990s,early 1990s,Ghana
,Jùjú,juju,african,folk,4,Palm-Wine Music,1920s,mid-1920s,Nigeria
,Kuduro,kuduro,african,latin,3,Semba,1980s,late 1980s,Angola
,Kwaito,kwaito,african,house,4,House,1980s,late 1980s,South Africa
,Kwela,kwela,african,jazz,4,Marabi,1950s,1950s,South Africa
,Mahraganat,mahraganat,african,edm,4,Shaabi,2000s,late 2000s,Egypt
,Makossa,makossa,african,folk,4,(none),1950s,1950s,Cameroon
,Marabi,marabi,african,jazz,5,(none),1920s,1920s,South Africa
,Mbalax,mbalax,african,folk,4,(none),1970s,1970s,"Senegal, Gambia"
,Mbube (+ isicathamiya),mbubeisicathamiya,african,,4,Zulu Music,1920s,1920s,South Africa
,Palm-Wine Music,palmwinemusic,african,folk,4,Highlife,1920s,early 1920s,West Africa
,Rough Kuduro,roughkuduro,african,edm,2,Kuduro,2000s,mid-2000s,"Angola, Portugal"
,Sakara,sakara,african,folk,3,(none),1920s,1920s,Nigeria
,Sega,sega,african,folk,4,(none),1700s,late 17th–early 18th centuries,"Mauritius, Réunion"
,Seggae,seggae,african,jamaican,2,Sega,1980s,late 1980s,Mauritius
,Semba,semba,african,latin,4,(none),1940s,1940s,Angola
,Shangaan Electro,shangaanelectro,african,edm,3,Tsonga Disco,2000s,mid-2000s,South Africa
